# m1,m0,ms,tau,m2,lambdauv,chxx10,ychi20,ychi21,sina,xsec_pb,eff,efferror
9.650e+02,9.150e+02,2.000e+03,2.668e-08,9.720e+02,4.261e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.365e-02,7.006e-04,9.908e-05
9.650e+02,9.150e+02,2.000e+03,4.001e-08,9.720e+02,5.219e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.362e-02,7.564e-04,1.029e-04
9.650e+02,9.150e+02,2.000e+03,5.335e-08,9.720e+02,6.026e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.375e-02,6.411e-04,9.453e-05
9.650e+02,9.150e+02,2.000e+03,6.669e-08,9.720e+02,6.737e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.361e-02,8.412e-04,1.086e-04
9.650e+02,8.650e+02,2.000e+03,3.335e-09,9.720e+02,1.348e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.311e-02,1.402e-05,1.402e-05
9.650e+02,8.650e+02,2.000e+03,6.670e-09,9.720e+02,1.907e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.319e-02,1.120e-04,3.959e-05
9.650e+02,8.650e+02,2.000e+03,1.334e-08,9.720e+02,2.697e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.315e-02,7.004e-04,9.905e-05
9.650e+02,8.650e+02,2.000e+03,2.668e-08,9.720e+02,3.814e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.319e-02,2.014e-03,1.678e-04
9.650e+02,8.650e+02,2.000e+03,4.002e-08,9.720e+02,4.671e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.313e-02,2.062e-03,1.700e-04
1.273e+02,7.726e+01,3.000e+02,3.335e-09,1.343e+02,1.101e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,9.158e+03,0.000e+00,0.000e+00
9.650e+02,8.650e+02,2.000e+03,5.336e-08,9.720e+02,5.393e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.326e-02,1.900e-03,1.630e-04
9.650e+02,8.650e+02,2.000e+03,6.670e-08,9.720e+02,6.030e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.314e-02,1.876e-03,1.620e-04
8.634e+02,8.134e+02,2.000e+03,3.335e-09,8.704e+02,1.491e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,7.901e-02,0.000e+00,0.000e+00
8.634e+02,8.134e+02,2.000e+03,6.669e-09,8.704e+02,2.109e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,7.872e-02,2.794e-05,1.976e-05
8.634e+02,8.134e+02,2.000e+03,1.334e-08,8.704e+02,2.982e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,7.894e-02,9.750e-05,3.685e-05
8.634e+02,8.134e+02,2.000e+03,2.668e-08,8.704e+02,4.218e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,7.911e-02,2.363e-04,5.732e-05
8.634e+02,8.134e+02,2.000e+03,4.001e-08,8.704e+02,5.166e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,7.878e-02,2.653e-04,6.086e-05
8.634e+02,8.134e+02,2.000e+03,5.335e-08,8.704e+02,5.965e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,7.913e-02,2.782e-04,6.220e-05
8.634e+02,8.134e+02,2.000e+03,6.669e-08,8.704e+02,6.669e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,7.906e-02,2.228e-04,5.571e-05
8.634e+02,7.634e+02,2.000e+03,3.335e-09,8.704e+02,1.336e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,7.717e-02,0.000e+00,0.000e+00
1.273e+02,7.726e+01,3.000e+02,6.670e-09,1.343e+02,1.558e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,9.117e+03,0.000e+00,0.000e+00
8.634e+02,7.634e+02,2.000e+03,6.670e-09,8.704e+02,1.890e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,7.733e-02,6.940e-05,3.104e-05
8.634e+02,7.634e+02,2.000e+03,1.334e-08,8.704e+02,2.672e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,7.704e-02,4.317e-04,7.753e-05
8.634e+02,7.634e+02,2.000e+03,2.668e-08,8.704e+02,3.779e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,7.712e-02,8.471e-04,1.085e-04
8.634e+02,7.634e+02,2.000e+03,4.002e-08,8.704e+02,4.628e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,7.705e-02,6.126e-04,9.235e-05
8.634e+02,7.634e+02,2.000e+03,5.336e-08,8.704e+02,5.344e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,7.702e-02,6.820e-04,9.743e-05
8.634e+02,7.634e+02,2.000e+03,6.670e-08,8.704e+02,5.975e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,7.715e-02,6.944e-04,9.821e-05
6.599e+02,6.099e+02,2.000e+03,3.334e-09,6.669e+02,1.472e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.174e-01,0.000e+00,0.000e+00
6.599e+02,6.099e+02,2.000e+03,6.669e-09,6.669e+02,2.082e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.171e-01,0.000e+00,0.000e+00
6.599e+02,6.099e+02,2.000e+03,1.334e-08,6.669e+02,2.944e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.177e-01,1.378e-05,1.378e-05
6.599e+02,6.099e+02,2.000e+03,2.668e-08,6.669e+02,4.163e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.166e-01,5.549e-05,2.774e-05
1.273e+02,7.726e+01,3.000e+02,1.334e-08,1.343e+02,2.203e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,9.143e+03,1.309e-04,5.345e-05
6.599e+02,6.099e+02,2.000e+03,4.002e-08,6.669e+02,5.099e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.164e-01,4.157e-05,2.400e-05
6.599e+02,6.099e+02,2.000e+03,5.336e-08,6.669e+02,5.888e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.169e-01,4.150e-05,2.396e-05
6.599e+02,6.099e+02,2.000e+03,6.669e-08,6.669e+02,6.583e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.171e-01,1.383e-05,1.383e-05
6.599e+02,5.599e+02,2.000e+03,3.335e-09,6.669e+02,1.298e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.130e-01,0.000e+00,0.000e+00
6.599e+02,5.599e+02,2.000e+03,6.670e-09,6.669e+02,1.835e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.128e-01,2.770e-05,1.959e-05
6.599e+02,5.599e+02,2.000e+03,1.334e-08,6.669e+02,2.595e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.127e-01,8.308e-05,3.392e-05
6.599e+02,5.599e+02,2.000e+03,2.668e-08,6.669e+02,3.670e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.130e-01,8.297e-05,3.387e-05
6.599e+02,5.599e+02,2.000e+03,4.002e-08,6.669e+02,4.495e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.129e-01,1.522e-04,4.588e-05
6.599e+02,5.599e+02,2.000e+03,5.336e-08,6.669e+02,5.190e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.123e-01,1.386e-04,4.382e-05
6.599e+02,5.599e+02,2.000e+03,6.670e-08,6.669e+02,5.803e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.128e-01,9.680e-05,3.659e-05
1.273e+02,7.726e+01,3.000e+02,2.668e-08,1.343e+02,3.115e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,9.109e+03,2.626e-04,7.581e-05
1.273e+02,7.726e+01,3.000e+02,4.002e-08,1.343e+02,3.815e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,9.203e+03,1.302e-04,5.316e-05
1.273e+02,7.726e+01,3.000e+02,5.336e-08,1.343e+02,4.405e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,9.142e+03,3.706e-04,8.988e-05
1.273e+02,7.726e+01,3.000e+02,6.670e-08,1.343e+02,4.925e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,9.152e+03,1.743e-04,6.161e-05
2.453e+02,1.953e+02,5.000e+02,3.335e-09,2.523e+02,1.325e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.523e+02,0.000e+00,0.000e+00
2.453e+02,1.953e+02,5.000e+02,6.670e-09,2.523e+02,1.874e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.510e+02,1.960e-05,1.960e-05
2.453e+02,1.953e+02,5.000e+02,1.334e-08,2.523e+02,2.650e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.523e+02,4.868e-04,9.736e-05
2.453e+02,1.953e+02,5.000e+02,2.668e-08,2.523e+02,3.747e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.520e+02,1.112e-03,1.473e-04
2.453e+02,1.953e+02,5.000e+02,4.002e-08,2.523e+02,4.590e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.514e+02,1.409e-03,1.660e-04
2.453e+02,1.953e+02,5.000e+02,5.335e-08,2.523e+02,5.300e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.516e+02,1.251e-03,1.564e-04
2.453e+02,1.953e+02,5.000e+02,6.669e-08,2.523e+02,5.925e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.517e+02,9.173e-04,1.338e-04
2.453e+02,1.453e+02,5.000e+02,3.336e-09,2.523e+02,1.011e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.407e+02,0.000e+00,0.000e+00
2.453e+02,1.453e+02,5.000e+02,6.671e-09,2.523e+02,1.430e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.406e+02,1.173e-04,4.790e-05
2.453e+02,1.453e+02,5.000e+02,1.334e-08,2.523e+02,2.023e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.414e+02,1.424e-03,1.667e-04
2.453e+02,1.453e+02,5.000e+02,2.668e-08,2.523e+02,2.861e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.408e+02,3.528e-03,2.630e-04
2.453e+02,1.453e+02,5.000e+02,4.003e-08,2.523e+02,3.504e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.405e+02,3.715e-03,2.695e-04
2.453e+02,1.453e+02,5.000e+02,5.336e-08,2.523e+02,4.046e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.415e+02,3.433e-03,2.588e-04
2.453e+02,1.453e+02,5.000e+02,6.671e-08,2.523e+02,4.523e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.409e+02,3.349e-03,2.561e-04
2.388e+02,1.888e+02,5.000e+02,3.335e-09,2.458e+02,1.318e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,9.420e+02,0.000e+00,0.000e+00
2.388e+02,1.888e+02,5.000e+02,6.669e-09,2.458e+02,1.863e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,9.381e+02,1.161e-04,4.739e-05
2.388e+02,1.888e+02,5.000e+02,1.334e-08,2.458e+02,2.635e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,9.396e+02,9.649e-04,1.365e-04
2.388e+02,1.888e+02,5.000e+02,2.668e-08,2.458e+02,3.727e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,9.433e+02,1.710e-03,1.813e-04
2.388e+02,1.888e+02,5.000e+02,4.002e-08,2.458e+02,4.564e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,9.436e+02,1.769e-03,1.844e-04
2.388e+02,1.888e+02,5.000e+02,5.335e-08,2.458e+02,5.270e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,9.462e+02,1.725e-03,1.818e-04
2.388e+02,1.888e+02,5.000e+02,6.669e-08,2.458e+02,5.892e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,9.448e+02,1.553e-03,1.725e-04
2.388e+02,1.388e+02,5.000e+02,3.335e-09,2.458e+02,1.001e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,8.967e+02,0.000e+00,0.000e+00
2.388e+02,1.388e+02,5.000e+02,6.670e-09,2.458e+02,1.416e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,8.915e+02,4.239e-04,9.038e-05
2.388e+02,1.388e+02,5.000e+02,1.334e-08,2.458e+02,2.003e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,8.913e+02,2.799e-03,2.325e-04
2.388e+02,1.388e+02,5.000e+02,2.668e-08,2.458e+02,2.832e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,8.974e+02,4.988e-03,3.094e-04
2.388e+02,1.388e+02,5.000e+02,4.002e-08,2.458e+02,3.468e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,8.924e+02,5.762e-03,3.332e-04
2.388e+02,1.388e+02,5.000e+02,5.336e-08,2.458e+02,4.005e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,8.946e+02,4.989e-03,3.100e-04
2.388e+02,1.388e+02,5.000e+02,6.671e-08,2.458e+02,4.478e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,8.896e+02,4.968e-03,3.099e-04
2.139e+02,1.639e+02,5.000e+02,3.334e-09,2.209e+02,1.290e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.010e+03,0.000e+00,0.000e+00
2.139e+02,1.639e+02,5.000e+02,6.670e-09,2.209e+02,1.824e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.000e+03,1.920e-05,1.920e-05
2.139e+02,1.639e+02,5.000e+02,1.334e-08,2.209e+02,2.580e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.004e+03,1.728e-04,5.761e-05
2.139e+02,1.639e+02,5.000e+02,2.668e-08,2.209e+02,3.648e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.006e+03,2.881e-04,7.439e-05
2.139e+02,1.639e+02,5.000e+02,4.002e-08,2.209e+02,4.468e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.028e+03,3.810e-04,8.519e-05
2.139e+02,1.639e+02,5.000e+02,5.335e-08,2.209e+02,5.159e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.012e+03,2.107e-04,6.352e-05
2.139e+02,1.639e+02,5.000e+02,6.669e-08,2.209e+02,5.768e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,3.014e+03,1.915e-04,6.055e-05
2.139e+02,1.139e+02,5.000e+02,3.335e-09,2.209e+02,9.431e+06,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.875e+03,0.000e+00,0.000e+00
2.139e+02,1.139e+02,5.000e+02,6.671e-09,2.209e+02,1.334e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.887e+03,5.738e-05,3.313e-05
2.139e+02,1.139e+02,5.000e+02,1.334e-08,2.209e+02,1.886e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.883e+03,5.366e-04,1.014e-04
2.139e+02,1.139e+02,5.000e+02,2.668e-08,2.209e+02,2.667e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.894e+03,1.222e-03,1.527e-04
2.139e+02,1.139e+02,5.000e+02,4.002e-08,2.209e+02,3.267e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.880e+03,1.093e-03,1.448e-04
2.139e+02,1.139e+02,5.000e+02,5.337e-08,2.209e+02,3.772e+07,1.000e-01,1.000e-01,1.500e+00,2.000e-01,2.883e+03,8.229e-04,1.255e-04
